"!Template name","LANG_SV","LANG_EN"
"_code","sv","en"
"_invalidAttachments","Filtypen du valt stöds inte. Vänligen välj en PDF-fil istället.","Sorry, this file format is not supported. Please select PDF file instead."
"_selectedAttachments","Utvalda bilagor","Selected attachments"
"_mailReviewOnlineDocument","Granska dokumentet nu","Review the document now"
"_remindMailNotSignedContractBody","<strong>$authorname$</strong> vill påminna dig om att du inte har signerat dokumentet <strong>$documenttitle$</strong> än.","<strong>$authorname$</strong> would like to remind you that you haven't signed the document <strong>$documenttitle$</strong> yet."
"_mailNewCompanyUserInvitePrivacyInfo","Detta konto är avsett att användas endast för bolaget <strong>$companyname$</strong> och alla dokument kommer att tillhöra <strong>$companyname$</strong>. Detta konto är inte avsett för privat bruk.","This account is intended to be used only in relation to <strong>$companyname$</strong> and all saved documents will belong to <strong>$companyname$</strong>. This account is not for private use."
"_mailInvitationCustomInvitationHeader","Meddelande från <strong>$creatorname$</strong>","Message from <strong>$creatorname$</strong>"
"_remindMailSignedTitle","Dokument skickat på nytt: $documenttitle$","Resent document: $documenttitle$"
"_customiseFontLabel","Teckensnitt","Body font"
"_customiseBorderColourLabel","Ramfärg","Border colour"
"_customiseButtonColourLabel","Knappfärg","Button colour"
"_customiseEmailBackgroundColourLabel","Bakgrundsfärg e-post","Email background colour"
"_sampleEmailButtonLabel","Granska dokumentet nu","Review document online"
"_sampleEmailFooter","Detta e-postmeddelande innehåller konfidentiell information och får inte vidarebefordras. Avslöjande, kopiering, distribution  eller annan behandling av informationen i meddelandet är förbjuden och kan vara olagligt. Om du felaktigt mottagit detta meddelande ber vi dig omedelbart informera avsändaren samt att därefter radera meddelandet.","This email contains confidential information and should not be forwarded. Disclosure, copying, distribution or other processing of the information contained in this message is prohibited and may be unlawful. If you have received this in error please notify the sender and delete immediately."
"_customiseSignViewBackgroundColour","Bakgrundsfärg","Background colour"
"_signviewBranding","Branding av signeringsvyn","Signview branding"
"_companyBrandingBarsColour","Sidhuvud-/sidfotsfärg","Header/footer colour"
"_companyBrandingBarsTextColour"," Sidhuvud/sidfot typsnittsfärg","Header/footer text colour"
"_companyBrandingbarsSecondaryColour"," Ram- och markeringsfärg","Border and highlight colour"
"_companyBrandingCustomize","Anpassa","Customize"
"_nameInvalidChars","får endast innehålla bokstäver, apostrof, bindestreck eller mellanslag.","may contain only alphabetic characters, apostrophe, hyphen or space."
"_nameRequired","krävs.","required."
"_nameTooLong","får innehålla maximalt 100 tecken.","may contain up to 100 characters."
"_firstNameField","Förnamn","First name"
"_lastNameField","Efternamn","Last name"
"_companyNumberInvalidChars","Organisationsnumret får endast innehålla bokstäver, siffror samt bindestreck.","Company number may only contain letters, digits and dash symbol."
"_companyNumberTooLong","Organisationsnumret får inte vara längre än 50 tecken.","Company number must be at most 50 characters long."
"_mailActivateAccountButton","Aktivera konto","Activate account"
"_datesJan","jan","Jan"
"_datesFeb","feb","Feb"
"_datesMar","mar","Mar"
"_datesApr","apr","Apr"
"_datesMay","maj","May"
"_datesJun","jun","Jun"
"_datesJul","jul","Jul"
"_datesAug","aug","Aug"
"_datesSep","sep","Sep"
"_datesOct","okt","Oct"
"_datesNov","nov","Nov"
"_datesDec","dec","Dec"
"_serviceBranding","Branding av tjänsten","Service branding"
"_designViewAddRemove","Lägg till bilagor","Add attachments"
"_designViewFieldName","Namn på fältet","Field name"
"_designViewEditParticipants","Lägg till parter","Add/edit participants"
"_designViewEditDocument","Placera fält","Add/edit fields"
"_designViewOptional","valfritt","optional"
"_designViewEditSigningProcess","Definera processen","Edit signing process"
"_designViewStartSigning","Starta signering","Start signing"
"_designViewAddField","Lägg till fält","Add field"
"_designViewWhatField","Vilket fält är det?","What field is it?"
"_designViewCustomField","Nytt fält","New field"
"_designViewDefineParticipation","Definiera deltagare","Define participation"
"_designViewToReceiveDocument","att ta emot dokument","to receive document"
"_designViewByEmail","genom epost","by email"
"_designViewOnThisTablet","genom personligt möte","in person meeting"
"_designViewBySMS","genom SMS","by SMS"
"_designViewbyEmailAndSMS","genom epost & SMS","by email and SMS"
"_designViewForSigning","för signering","for signing"
"_designViewForViewing","för granskning","for viewing"
"_designViewNoIDControl","utan extra identifiering","with no additional ID control"
"_designViewWithEleg","med e-legitimation","with Swedish eID"
"_designViewAddParty","Lägg till part","Add party"
"_designViewAddMultisend","Lägg till massutskick","Add multi send"
"_designViewViewCSV","Se CSV","View CSV"
"_designViewFullName","Namn","Full name"
"_designViewOptional","ej obligatoriskt","optional"
"_designViewOptionalField","Ej obligatoriskt","Optional"
"_designViewMandatoryForRecipient","Obligatorisk för mottagaren","Mandatory for recipient"
"_designViewMandatoryForSender","Obligatorisk för avsändaren","Mandatory for sender"
"_designViewDocumentName","Dokumentnamn","Document name"
"_designViewRecipientsLanguage","Mottagarens språk","Recipient's language"
"_designViewSigningDeadline","Förfallodatum","Signing deadline"
"_designViewRequest","Begär bilaga","Request attachments"
"_designViewEditInvitation","Ändra inbjudnings meddelande","Edit invitation message"
"_designViewPreviewInvitation","Granska inbjudan","Preview invite"
"_designViewSignatureBox","Signeringsfält","Signature box"
"_designViewSignatureBoxSettings","Inställningar för signeringsfält","Signature settings"
"_designViewFreeTextBox","Textfält","Custom field"
"_designViewRemoveThisDocument","Ta bort dokument","Remove document"
"_designViewChooseDocument","Välj fil","Upload document"
"_designViewChooseParticipant","Vem är fältet för?","Who is the field for?"
"_dontHaveAccount","Vill du bli användare?<a href='/sv/signup'> Skapa ett konto.</a>","Don't have an account?<a href='/en/signup'> Sign up for free.</a>"
"_alreadyHaveAccount","Redan användare? <a href='/sv/login'> Logga in.</a>","Already have an account? <a href='/en/login'> Log in.</a>"
"_designViewAttached","bifogad.","attached."
"_designViewRequestedFrom","begärd från","requested from"
"_visitOurPricingPage","Se <a href='/sv/pricing'>priser för att köpa abonnemang</a>.","View <a href='/en/pricing'>pricing and purchase a subscription</a>."
"_loginOrSignup","Gå tillbaks till <a class='stylablelink' href='/sv/login'>login</a> eller <a class='stylablelink' href='/sv/signup'>skapa konto</a>.","Go back to <a class='stylablelink' href='/en/login'>login</a> or <a class='stylablelink' href='/en/signup'>sign up</a>."
"_designviewdraggablehelp1","Dra och släpp fält för att lägga till och flytta","Drag and drop fields to add and move"
"_designviewdraggablehelp2","Klicka på fält för att markera och ändra","Click field to select and edit"
"_designviewdays","Dag(ar)","Day(s)"
"_designviewsaved","Ditt dokument har sparats som ett utkast. Du kan se dina utkast i arkivet.","Your document has been saved as a draft. You can find your drafts in your Archive."
"_validationPleaseSelectField","Var vänlig fyll i eller ta bort fälten i dokumentet.","Please complete or remove the fields added to the document."
"_selectField","Vilket fält vill du lägga till?","What field do you want to add?"
"_editMessagePlaceholder","Meddelande endast tillgängligt vid e-postleverans.","Message available for email delivery only."
"_firstnameAndLastName","Förnamn & efternamn","First name & last name"
"_fontSizeName","Fontstorlek","Font size"
"_fontSizeSmall","liten","small"
"_fontSizeNormal","normal","normal"
"_fontSizeBig","stor","large"
"_fontSizeLarge","mycket stor","huge"
"_fontSizeCustom","anpassa","custom"
"_fromCSV","från .CSV-fil","from .CSV file"
"_partOf","av","of"
"_preparingDocumentFor","Bearbetar dokument för ","Preparing document for"
"_problemContactingServer","Vi har problem att hantera ditt dokument.<br/>Vänligen ladda om sidan och försök igen.","We're experiencing difficulties handling your document.<br/>Please reload the page and try again."
"_signviewAttachmentUploadedInOtherWindow","Tyvärr kan vi inte ladda upp din fil eftersom du har det här dokumentet öppet i ett annat fönster eller tab.","Sorry, we are unable to upload your file because this document is open in another window. Please reload your page to continue."
"_exampleDocumentWantHelp","Har du inget dokument tillgängligt?","Not sure what document to send?"
"_exampleDocumentUploadIt","Använd ett av våra dokument","Use our example document"
"_exampleDocumentTitle","Provar Scrive","Testing Scrive"
"_exampleDocumentInvitationMessage","<p>Scrive är en tjänst för e-signering, som låter dig skapa och skicka dokument för juridiskt bindande underskrifter.</p>","<p>Scrive is an e-signing solution that lets you safely and easily create and send documents for legally binding signatures.</p>"
"_sessionTimedoutInSignview","Det tog för lång tid att slutföra signeringen. För att fortsätta klicka på länken i mailet igen.","Your session has timed out. You can access your document again by following the link in your email."
"_signviewSigningFailed","Något gick fel vid signeringen. Vänligen försök igen.","Sorry, something went wrong while signing the document. Please try again."
"_apiSettings","API-inställningar","Integration settings"
"_apiOauthReveal","Visa","Reveal"
"_welcomeWhatIsScrive","Scrive är säkert, enkelt och snabbt.","Scrive is secure, simple and fast."
"_welcomeScrivePossible","Med Scrive kan du <b>skicka och få dina dokument signerade</b>.","With Scrive you can <b>create &amp; send</b> your own documents."
"_welcomeScriveTry","Det tar mindre än <b>2 minuter</b>, vill du pröva?","It takes less than <b>2 minutes</b>, would you like to give it a try?"
"_welcomeTryButton","Ja, pröva!","Yes, give it a try!"
"_welcomeTitle","Ditt dokument har sparats i ditt e-arkiv!","Your document has been saved in your e-archive!"
"_welcomeSubtitle","För att komma till ditt dokument,","To view your document,"
"_welcomeSubtitleLink","klicka här!","click here!"
"_smsOriginator","SMS-namn","SMS label"
"_smsOriginatorDescription","Namnet som visas för mottagaren när SMS används som leveransmetod. Maximalt 11 bokstäver/siffror. Inga åäö.","The name that is displayed to the recipient when receiving a document via SMS. Maximum 11 alpha-numeric characters."
"_padTypeSignatureBoxHeader","Skriv din signatur","Type your signature"
"_padOR","ELLER","OR"
"_padDrawSignature","rita din signatur"," draw your signature"
"_padTypeSignature","skriv din signatur","type your signature"
"_padFont1","Typsnitt 1","Font style 1"
"_padFont2","Typsnitt 2","Font style 2"
"_padFont3","Typsnitt 3","Font style 3"
"_unsupportedBrowserSorry","oops.","sorry."
"_unsupportedBrowserHeader","Tyvärr stöder vi inte versionen av din webbläsare:","We don't support the version of the browser you are using:"
"_unsupportedBrowserInstructionsHeader","För att fortsätta, vänligen utför ett av följande alternativ:","To continue, please do one of the following:"
"_unsupportedBrowserInstruction1","Uppdatera din webbläsare till en nyare version av Internet Explorer.","Update your browser to a newer version of Internet Explorer."
"_unsupportedBrowserInstruction2","Öppna länken i en annan webbläsare (t ex Chrome eller Firefox)","Open the link in a different browser (i.e. Chrome or Firefox)."
"_unsupportedBrowserTitle","Din webbläsare stöds inte","Your browser is not supported"
"_flashMessageBecomeCompanyLogInDifferentUser","En annan användare är redan inloggad. För att överföra kontot, vänligen logga ut och logga in på kontot du önskar flyttat.","Another user is currently logged in. To transfer account, please log out and log in to the account you would like to transfer."
